year,quarter,week_ending,hb,admission_type,specialty,number_admissions,average20182019,percent_variation
2021,4,2021-10-10,S08000022,Emergency,Medical (incl. Cardiology & Cancer),320,322,-0.6
2021,4,2021-10-10,S08000022,Emergency,Paediatrics (medical & surgical),68,59.5,14.3
2021,4,2021-10-10,S08000022,Emergency,Paediatrics (medical),68,59,15.3
2021,4,2021-10-10,S08000022,Emergency,Surgery,144,166,-13.3
2021,4,2021-10-10,S08000024,Emergency,Accident & Emergency,128,132.5,-3.4
2021,4,2021-10-10,S08000024,Emergency,All,1633,1732.5,-5.7
2021,4,2021-10-10,S08000024,Emergency,Cancer,45,64.5,-30.2
2021,4,2021-10-10,S08000024,Emergency,Cardiology,41,44.5,-7.9
2021,4,2021-10-10,S08000024,Emergency,Gynaecology,30,19.5,53.8
2021,4,2021-10-10,S08000024,Emergency,Medical (excl. Cardiology & Cancer),817,858.5,-4.8
2021,4,2021-10-10,S08000024,Emergency,Medical (incl. Cardiology & Cancer),903,967.5,-6.7
2021,4,2021-10-10,S08000024,Emergency,Paediatrics (medical & surgical),199,175.5,13.4
2021,4,2021-10-10,S08000024,Emergency,Paediatrics (medical),186,158.5,17.4
2021,4,2021-10-10,S08000024,Emergency,Paediatrics (surgical),13,17,-23.5
2021,4,2021-10-10,S08000024,Emergency,Surgery,372,437.5,-15
2021,4,2021-10-10,S08000025,Emergency,All,37,38,-2.6
2021,4,2021-10-10,S08000025,Emergency,Medical (excl. Cardiology & Cancer),20,29.5,-32.2
2021,4,2021-10-10,S08000025,Emergency,Medical (incl. Cardiology & Cancer),21,29.5,-28.8
2021,4,2021-10-10,S08000025,Emergency,Surgery,14,8.5,64.7
2021,4,2021-10-10,S08000026,Emergency,All,29,28.5,1.8
2021,4,2021-10-10,S08000026,Emergency,Medical (excl. Cardiology & Cancer),16,17.5,-8.6
2021,4,2021-10-10,S08000026,Emergency,Medical (incl. Cardiology & Cancer),16,17.5,-8.6
2021,4,2021-10-10,S08000026,Emergency,Surgery,13,11,18.2
2021,4,2021-10-10,S08000028,Emergency,All,57,66.5,-14.3
2021,4,2021-10-10,S08000028,Emergency,Community,11,11.5,-4.3
2021,4,2021-10-10,S08000028,Emergency,Medical (excl. Cardiology & Cancer),29,34.5,-15.9
2021,4,2021-10-10,S08000028,Emergency,Medical (incl. Cardiology & Cancer),29,34.5,-15.9
2021,4,2021-10-10,S08000028,Emergency,Surgery,15,17.5,-14.3
2021,4,2021-10-10,S08000029,Emergency,Accident & Emergency,63,63,0
2021,4,2021-10-10,S08000029,Emergency,All,842,844,-0.2
2021,4,2021-10-10,S08000029,Emergency,Cardiology,26,30,-13.3
2021,4,2021-10-10,S08000029,Emergency,Community,11,10,10
2021,4,2021-10-10,S08000029,Emergency,Gynaecology,22,25,-12
2021,4,2021-10-10,S08000029,Emergency,Medical (excl. Cardiology & Cancer),385,440.5,-12.6
2021,4,2021-10-10,S08000029,Emergency,Medical (incl. Cardiology & Cancer),411,471,-12.7
2021,4,2021-10-10,S08000029,Emergency,Paediatrics (medical & surgical),146,94.5,54.5
2021,4,2021-10-10,S08000029,Emergency,Paediatrics (medical),146,94.5,54.5
2021,4,2021-10-10,S08000029,Emergency,Surgery,189,180.5,4.7
2021,4,2021-10-10,S08000030,Emergency,Accident & Emergency,88,75,17.3
2021,4,2021-10-10,S08000030,Emergency,All,1110,983,12.9
2021,4,2021-10-10,S08000030,Emergency,Cancer,19,25,-24
2021,4,2021-10-10,S08000030,Emergency,Cardiology,50,23,117.4
2021,4,2021-10-10,S08000030,Emergency,Gynaecology,7,10.5,-33.3
2021,4,2021-10-10,S08000030,Emergency,Medical (excl. Cardiology & Cancer),544,483.5,12.5
2021,4,2021-10-10,S08000030,Emergency,Medical (incl. Cardiology & Cancer),613,531.5,15.3
2021,4,2021-10-10,S08000030,Emergency,Paediatrics (medical),154,97.5,57.9
2021,4,2021-10-10,S08000030,Emergency,Surgery,247,249,-0.8
2021,4,2021-10-10,S08000031,Emergency,Accident & Emergency,29,39,-25.6
2021,4,2021-10-10,S08000031,Emergency,All,2702,2801.5,-3.6
2021,4,2021-10-10,S08000031,Emergency,Cancer,30,26.5,13.2
2021,4,2021-10-10,S08000031,Emergency,Cardiology,87,94,-7.4
2021,4,2021-10-10,S08000031,Emergency,Gynaecology,56,42,33.3
2021,4,2021-10-10,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1472,1591.5,-7.5
2021,4,2021-10-10,S08000031,Emergency,Medical (incl. Cardiology & Cancer),1589,1712,-7.2
2021,4,2021-10-10,S08000031,Emergency,Paediatrics (medical & surgical),305,222,37.4
2021,4,2021-10-10,S08000031,Emergency,Paediatrics (medical),277,206,34.5
2021,4,2021-10-10,S08000031,Emergency,Paediatrics (surgical),28,16,75
2021,4,2021-10-10,S08000031,Emergency,Surgery,723,786.5,-8.1
2021,4,2021-10-10,S08000032,Emergency,All,1418,1460,-2.9
2021,4,2021-10-10,S08000032,Emergency,Cardiology,82,72,13.9
2021,4,2021-10-10,S08000032,Emergency,Gynaecology,26,21.5,20.9
2021,4,2021-10-10,S08000032,Emergency,Medical (excl. Cardiology & Cancer),834,872.5,-4.4
2021,4,2021-10-10,S08000032,Emergency,Medical (incl. Cardiology & Cancer),916,944.5,-3
2021,4,2021-10-10,S08000032,Emergency,Paediatrics (medical & surgical),161,126,27.8
2021,4,2021-10-10,S08000032,Emergency,Paediatrics (medical),161,126,27.8
2021,4,2021-10-10,S08000032,Emergency,Surgery,313,364,-14
2021,4,2021-10-10,S92000003,Emergency,Accident & Emergency,340,398.5,-14.7
2021,4,2021-10-10,S92000003,Emergency,All,11652,12257.5,-4.9
2021,4,2021-10-10,S92000003,Emergency,Cancer,124,143.5,-13.6
2021,4,2021-10-10,S92000003,Emergency,Cardiology,369,326,13.2
2021,4,2021-10-10,S92000003,Emergency,Community,140,183.5,-23.7
2021,4,2021-10-10,S92000003,Emergency,Gynaecology,204,179.5,13.6
2021,4,2021-10-10,S92000003,Emergency,Medical (excl. Cardiology & Cancer),6188,6661.5,-7.1
2021,4,2021-10-10,S92000003,Emergency,Medical (incl. Cardiology & Cancer),6681,7131,-6.3
2021,4,2021-10-10,S92000003,Emergency,Paediatrics (medical & surgical),1499,1237.5,21.1
2021,4,2021-10-10,S92000003,Emergency,Paediatrics (medical),1451,1198,21.1
2021,4,2021-10-10,S92000003,Emergency,Paediatrics (surgical),48,39.5,21.5
2021,4,2021-10-10,S92000003,Emergency,Surgery,2787,3125.5,-10.8
2021,4,2021-10-17,S08000015,Emergency,Accident & Emergency,7,28.5,-75.4
2021,4,2021-10-17,S08000015,Emergency,All,919,1051,-12.6
2021,4,2021-10-17,S08000015,Emergency,Cardiology,11,15.5,-29
2021,4,2021-10-17,S08000015,Emergency,Medical (excl. Cardiology & Cancer),557,614,-9.3
2021,4,2021-10-17,S08000015,Emergency,Medical (incl. Cardiology & Cancer),568,630,-9.8
2021,4,2021-10-17,S08000015,Emergency,Paediatrics (medical & surgical),139,144,-3.5
2021,4,2021-10-17,S08000015,Emergency,Paediatrics (medical),139,144,-3.5
2021,4,2021-10-17,S08000015,Emergency,Surgery,205,248.5,-17.5
2021,4,2021-10-17,S08000016,Emergency,All,163,242.5,-32.8
2021,4,2021-10-17,S08000016,Emergency,Cardiology,10,10,0
2021,4,2021-10-17,S08000016,Emergency,Medical (excl. Cardiology & Cancer),85,145.5,-41.6
2021,4,2021-10-17,S08000016,Emergency,Medical (incl. Cardiology & Cancer),95,155.5,-38.9
2021,4,2021-10-17,S08000016,Emergency,Paediatrics (medical & surgical),26,33.5,-22.4
2021,4,2021-10-17,S08000016,Emergency,Paediatrics (medical),26,33.5,-22.4
2021,4,2021-10-17,S08000016,Emergency,Surgery,42,50,-16
2021,4,2021-10-17,S08000017,Emergency,All,302,354,-14.7
2021,4,2021-10-17,S08000017,Emergency,Community,20,18.5,8.1
2021,4,2021-10-17,S08000017,Emergency,Gynaecology,7,17,-58.8
2021,4,2021-10-17,S08000017,Emergency,Medical (excl. Cardiology & Cancer),158,185.5,-14.8
2021,4,2021-10-17,S08000017,Emergency,Medical (incl. Cardiology & Cancer),161,185.5,-13.2
2021,4,2021-10-17,S08000017,Emergency,Paediatrics (medical & surgical),49,40.5,21
2021,4,2021-10-17,S08000017,Emergency,Paediatrics (medical),49,40.5,21
2021,4,2021-10-17,S08000017,Emergency,Surgery,65,92.5,-29.7
2021,4,2021-10-17,S08000019,Emergency,All,659,933.5,-29.4
2021,4,2021-10-17,S08000019,Emergency,Gynaecology,20,25,-20
2021,4,2021-10-17,S08000019,Emergency,Medical (excl. Cardiology & Cancer),382,545,-29.9
2021,4,2021-10-17,S08000019,Emergency,Medical (incl. Cardiology & Cancer),382,547.5,-30.2
2021,4,2021-10-17,S08000019,Emergency,Paediatrics (medical & surgical),98,117.5,-16.6
2021,4,2021-10-17,S08000019,Emergency,Paediatrics (medical),98,117.5,-16.6
2021,4,2021-10-17,S08000019,Emergency,Surgery,157,235,-33.2
2021,4,2021-10-17,S08000020,Emergency,Accident & Emergency,26,63,-58.7
2021,4,2021-10-17,S08000020,Emergency,All,1010,1044,-3.3
2021,4,2021-10-17,S08000020,Emergency,Cancer,31,18,72.2
2021,4,2021-10-17,S08000020,Emergency,Cardiology,32,35,-8.6
2021,4,2021-10-17,S08000020,Emergency,Community,20,45.5,-56
2021,4,2021-10-17,S08000020,Emergency,Gynaecology,10,9.5,5.3
2021,4,2021-10-17,S08000020,Emergency,Medical (excl. Cardiology & Cancer),490,459,6.8
2021,4,2021-10-17,S08000020,Emergency,Medical (incl. Cardiology & Cancer),553,512,8
2021,4,2021-10-17,S08000029,Emergency,Accident & Emergency,64,60.5,5.8
2021,4,2021-10-17,S08000020,Emergency,Paediatrics (medical & surgical),135,117.5,14.9
2021,4,2021-10-17,S08000020,Emergency,Paediatrics (medical),122,107.5,13.5
2021,4,2021-10-17,S08000020,Emergency,Paediatrics (surgical),13,10,30
2021,4,2021-10-17,S08000020,Emergency,Surgery,266,296.5,-10.3
2021,4,2021-10-17,S08000022,Emergency,All,560,620,-9.7
2021,4,2021-10-17,S08000022,Emergency,Cardiology,6,5.5,9.1
2021,4,2021-10-17,S08000022,Emergency,Community,67,81.5,-17.8
2021,4,2021-10-17,S08000022,Emergency,Gynaecology,11,12.5,-12
2021,4,2021-10-17,S08000022,Emergency,Medical (excl. Cardiology & Cancer),253,303,-16.5
2021,4,2021-10-17,S08000022,Emergency,Medical (incl. Cardiology & Cancer),259,308.5,-16
2021,4,2021-10-17,S08000022,Emergency,Paediatrics (medical & surgical),66,64.5,2.3
2021,4,2021-10-17,S08000022,Emergency,Paediatrics (medical),66,64.5,2.3
2021,4,2021-10-17,S08000022,Emergency,Surgery,157,153,2.6
2021,4,2021-10-17,S08000024,Emergency,Accident & Emergency,149,132,12.9
2021,4,2021-10-17,S08000024,Emergency,All,1703,1724,-1.2
2021,4,2021-10-17,S08000024,Emergency,Cancer,62,58,6.9
2021,4,2021-10-17,S08000024,Emergency,Cardiology,52,48,8.3
2021,4,2021-10-17,S08000024,Emergency,Gynaecology,26,28.5,-8.8
2021,4,2021-10-17,S08000024,Emergency,Medical (excl. Cardiology & Cancer),819,872,-6.1
2021,4,2021-10-17,S08000024,Emergency,Medical (incl. Cardiology & Cancer),933,978,-4.6
2021,4,2021-10-17,S08000024,Emergency,Paediatrics (medical & surgical),223,164.5,35.6
2021,4,2021-10-17,S08000024,Emergency,Paediatrics (medical),203,147,38.1
2021,4,2021-10-17,S08000024,Emergency,Paediatrics (surgical),20,17.5,14.3
2021,4,2021-10-17,S08000024,Emergency,Surgery,372,421,-11.6
2021,4,2021-10-17,S08000025,Emergency,All,35,30.5,14.8
2021,4,2021-10-17,S08000025,Emergency,Medical (excl. Cardiology & Cancer),24,20,20
2021,4,2021-10-17,S08000025,Emergency,Medical (incl. Cardiology & Cancer),24,20,20
2021,4,2021-10-17,S08000025,Emergency,Surgery,11,10,10
2021,4,2021-10-17,S08000026,Emergency,All,32,47.5,-32.6
2021,4,2021-10-17,S08000026,Emergency,Medical (excl. Cardiology & Cancer),16,30.5,-47.5
2021,4,2021-10-17,S08000026,Emergency,Medical (incl. Cardiology & Cancer),16,30.5,-47.5
2021,4,2021-10-17,S08000026,Emergency,Surgery,16,17,-5.9
2021,4,2021-10-17,S08000028,Emergency,All,52,59,-11.9
2021,4,2021-10-17,S08000028,Emergency,Community,10,7.5,33.3
2021,4,2021-10-17,S08000028,Emergency,Medical (excl. Cardiology & Cancer),25,35,-28.6
2021,4,2021-10-17,S08000028,Emergency,Medical (incl. Cardiology & Cancer),25,35,-28.6
2021,4,2021-10-17,S08000029,Emergency,All,822,786.5,4.5
2021,4,2021-10-17,S08000029,Emergency,Cardiology,24,26,-7.7
2021,4,2021-10-17,S08000029,Emergency,Community,11,9,22.2
2021,4,2021-10-17,S08000029,Emergency,Gynaecology,23,18,27.8
2021,4,2021-10-17,S08000029,Emergency,Medical (excl. Cardiology & Cancer),399,430,-7.2
2021,4,2021-10-17,S08000029,Emergency,Medical (incl. Cardiology & Cancer),423,456,-7.2
2021,4,2021-10-17,S08000029,Emergency,Paediatrics (medical & surgical),118,73,61.6
2021,4,2021-10-17,S08000029,Emergency,Paediatrics (medical),118,73,61.6
2021,4,2021-10-17,S08000029,Emergency,Surgery,183,170,7.6
2021,4,2021-10-17,S08000030,Emergency,Accident & Emergency,76,69,10.1
2021,4,2021-10-17,S08000030,Emergency,All,930,974.5,-4.6
2021,4,2021-10-17,S08000030,Emergency,Cancer,14,19,-26.3
2021,4,2021-10-17,S08000030,Emergency,Cardiology,28,17.5,60
2021,4,2021-10-17,S08000030,Emergency,Gynaecology,9,17.5,-48.6
2021,4,2021-10-17,S08000030,Emergency,Medical (excl. Cardiology & Cancer),478,500,-4.4
2021,4,2021-10-17,S08000030,Emergency,Medical (incl. Cardiology & Cancer),520,536.5,-3.1
2021,4,2021-10-17,S08000030,Emergency,Paediatrics (medical & surgical),116,104.5,11
2021,4,2021-10-17,S08000030,Emergency,Paediatrics (medical),116,104.5,11
2021,4,2021-10-17,S08000030,Emergency,Surgery,208,238,-12.6
2021,4,2021-10-17,S08000031,Emergency,Accident & Emergency,45,38.5,16.9
2021,4,2021-10-17,S08000031,Emergency,All,2845,2822.5,0.8
2021,4,2021-10-17,S08000031,Emergency,Cancer,34,36.5,-6.8
2021,4,2021-10-17,S08000031,Emergency,Cardiology,94,92.5,1.6
2021,4,2021-10-17,S08000031,Emergency,Gynaecology,66,33.5,97
2021,4,2021-10-17,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1543,1634.5,-5.6
2021,4,2021-10-17,S08000031,Emergency,Medical (incl. Cardiology & Cancer),1671,1763.5,-5.2
2021,4,2021-10-17,S08000031,Emergency,Paediatrics (medical & surgical),298,253.5,17.6
2021,4,2021-10-17,S08000031,Emergency,Paediatrics (medical),283,236.5,19.7
2021,4,2021-10-17,S08000031,Emergency,Paediatrics (surgical),15,17,-11.8
2021,4,2021-10-17,S08000031,Emergency,Surgery,765,733.5,4.3
2021,4,2021-10-17,S08000032,Emergency,Accident & Emergency,9,5,80
2021,4,2021-10-17,S08000032,Emergency,All,1327,1535.5,-13.6
2021,4,2021-10-17,S08000032,Emergency,Cardiology,93,77.5,20
2021,4,2021-10-17,S08000032,Emergency,Gynaecology,20,24,-16.7
2021,4,2021-10-17,S08000032,Emergency,Medical (excl. Cardiology & Cancer),791,921.5,-14.2
2021,4,2021-10-17,S08000032,Emergency,Medical (incl. Cardiology & Cancer),884,999,-11.5
2021,4,2021-10-31,S08000016,Emergency,Surgery,42,52.5,-20
2021,4,2021-10-17,S08000032,Emergency,Paediatrics (medical & surgical),115,139.5,-17.6
2021,4,2021-10-17,S08000032,Emergency,Paediatrics (medical),115,139,-17.3
2021,4,2021-10-17,S08000032,Emergency,Surgery,299,368,-18.8
2021,4,2021-10-17,S92000003,Emergency,Accident & Emergency,378,404,-6.4
2021,4,2021-10-17,S92000003,Emergency,All,11359,12225,-7.1
2021,4,2021-10-17,S92000003,Emergency,Cancer,141,132,6.8
2021,4,2021-10-17,S92000003,Emergency,Cardiology,353,330,7
2021,4,2021-10-17,S92000003,Emergency,Community,129,174.5,-26.1
2021,4,2021-10-17,S92000003,Emergency,Gynaecology,192,186,3.2
2021,4,2021-10-17,S92000003,Emergency,Medical (excl. Cardiology & Cancer),6020,6695.5,-10.1
2021,4,2021-10-17,S92000003,Emergency,Medical (incl. Cardiology & Cancer),6514,7157.5,-9
2021,4,2021-10-17,S92000003,Emergency,Paediatrics (medical & surgical),1384,1254.5,10.3
2021,4,2021-10-17,S92000003,Emergency,Paediatrics (medical),1336,1209.5,10.5
2021,4,2021-10-24,S08000015,Emergency,Accident & Emergency,10,14,-28.6
2021,4,2021-10-24,S08000015,Emergency,All,955,986.5,-3.2
2021,4,2021-10-24,S08000015,Emergency,Cardiology,6,10.5,-42.9
2021,4,2021-10-24,S08000015,Emergency,Medical (excl. Cardiology & Cancer),601,624,-3.7
2021,4,2021-10-24,S08000015,Emergency,Medical (incl. Cardiology & Cancer),607,634.5,-4.3
2021,4,2021-10-24,S08000015,Emergency,Paediatrics (medical & surgical),142,111.5,27.4
2021,4,2021-10-24,S08000015,Emergency,Paediatrics (medical),142,111.5,27.4
2021,4,2021-10-24,S08000015,Emergency,Surgery,196,226.5,-13.5
2021,4,2021-10-24,S08000016,Emergency,All,172,214.5,-19.8
2021,4,2021-10-24,S08000016,Emergency,Cardiology,11,7,57.1
2021,4,2021-10-24,S08000016,Emergency,Medical (excl. Cardiology & Cancer),100,124,-19.4
2021,4,2021-10-24,S08000016,Emergency,Medical (incl. Cardiology & Cancer),111,131,-15.3
2021,4,2021-10-24,S08000016,Emergency,Paediatrics (medical & surgical),20,30.5,-34.4
2021,4,2021-10-24,S08000016,Emergency,Paediatrics (medical),20,30.5,-34.4
2021,4,2021-10-24,S08000016,Emergency,Surgery,39,51.5,-24.3
2021,4,2021-10-24,S08000017,Emergency,All,328,346.5,-5.3
2021,4,2021-10-24,S08000017,Emergency,Community,19,21.5,-11.6
2021,4,2021-10-24,S08000017,Emergency,Gynaecology,12,12.5,-4
2021,4,2021-10-24,S08000017,Emergency,Medical (excl. Cardiology & Cancer),155,184.5,-16
2021,4,2021-10-24,S08000017,Emergency,Medical (incl. Cardiology & Cancer),155,184.5,-16
2021,4,2021-10-24,S08000017,Emergency,Paediatrics (medical & surgical),41,45.5,-9.9
2021,4,2021-10-24,S08000017,Emergency,Paediatrics (medical),41,45.5,-9.9
2021,4,2021-10-24,S08000017,Emergency,Surgery,101,82.5,22.4
2021,4,2021-10-24,S08000019,Emergency,All,590,857,-31.2
2021,4,2021-10-24,S08000019,Emergency,Gynaecology,15,31.5,-52.4
2021,4,2021-10-24,S08000019,Emergency,Medical (excl. Cardiology & Cancer),382,486,-21.4
2021,4,2021-10-24,S08000019,Emergency,Medical (incl. Cardiology & Cancer),383,488,-21.5
2021,4,2021-10-24,S08000019,Emergency,Paediatrics (medical & surgical),67,120.5,-44.4
2021,4,2021-10-24,S08000019,Emergency,Paediatrics (medical),67,120,-44.2
2021,4,2021-10-24,S08000019,Emergency,Surgery,121,207,-41.5
2021,4,2021-10-24,S08000020,Emergency,Accident & Emergency,20,58,-65.5
2021,4,2021-10-24,S08000020,Emergency,All,983,978.5,0.5
2021,4,2021-10-24,S08000020,Emergency,Cancer,29,19,52.6
2021,4,2021-10-24,S08000020,Emergency,Cardiology,33,33.5,-1.5
2021,4,2021-10-24,S08000020,Emergency,Community,24,42.5,-43.5
2021,4,2021-10-24,S08000020,Emergency,Gynaecology,7,10.5,-33.3
2021,4,2021-10-24,S08000020,Emergency,Medical (excl. Cardiology & Cancer),490,421.5,16.3
2021,4,2021-10-24,S08000020,Emergency,Medical (incl. Cardiology & Cancer),552,474,16.5
2021,4,2021-10-24,S08000020,Emergency,Paediatrics (medical & surgical),92,100,-8
2021,4,2021-10-24,S08000020,Emergency,Paediatrics (medical),79,90.5,-12.7
2021,4,2021-10-24,S08000020,Emergency,Paediatrics (surgical),13,9.5,36.8
2021,4,2021-10-24,S08000020,Emergency,Surgery,288,293,-1.7
2021,4,2021-10-24,S08000022,Emergency,All,584,622.5,-6.2
2021,4,2021-10-24,S08000022,Emergency,Cardiology,6,6,0
2021,4,2021-10-24,S08000022,Emergency,Community,52,91,-42.9
2021,4,2021-10-24,S08000022,Emergency,Gynaecology,20,17.5,14.3
2021,4,2021-10-24,S08000022,Emergency,Medical (excl. Cardiology & Cancer),281,303.5,-7.4
2021,4,2021-10-24,S08000022,Emergency,Medical (incl. Cardiology & Cancer),287,310.5,-7.6
2021,4,2021-10-24,S08000022,Emergency,Paediatrics (medical & surgical),67,56,19.6
2021,4,2021-10-24,S08000022,Emergency,Paediatrics (medical),67,56,19.6
2021,4,2021-10-24,S08000022,Emergency,Surgery,158,147,7.5
2021,4,2021-10-24,S08000024,Emergency,Accident & Emergency,141,134.5,4.8
2021,4,2021-10-24,S08000024,Emergency,All,1628,1674,-2.7
2021,4,2021-10-24,S08000024,Emergency,Cancer,50,64,-21.9
2021,4,2021-10-24,S08000024,Emergency,Cardiology,40,37.5,6.7
2021,4,2021-10-24,S08000024,Emergency,Gynaecology,18,29.5,-39
2021,4,2021-10-24,S08000024,Emergency,Medical (excl. Cardiology & Cancer),814,802.5,1.4
2021,4,2021-10-24,S08000024,Emergency,Medical (incl. Cardiology & Cancer),904,904,0
2021,4,2021-10-24,S08000024,Emergency,Paediatrics (medical & surgical),185,171,8.2
2021,4,2021-10-24,S08000024,Emergency,Paediatrics (medical),170,155,9.7
2021,4,2021-10-24,S08000024,Emergency,Paediatrics (surgical),15,16,-6.2
2021,4,2021-10-24,S08000024,Emergency,Surgery,380,434,-12.4
2021,4,2021-10-24,S08000025,Emergency,All,27,31,-12.9
2021,4,2021-10-24,S08000025,Emergency,Medical (excl. Cardiology & Cancer),17,19.5,-12.8
2021,4,2021-10-24,S08000025,Emergency,Medical (incl. Cardiology & Cancer),18,20,-10
2021,4,2021-10-24,S08000025,Emergency,Surgery,9,11,-18.2
2021,4,2021-10-24,S08000026,Emergency,All,37,37.5,-1.3
2021,4,2021-10-24,S08000026,Emergency,Medical (excl. Cardiology & Cancer),25,25,0
2021,4,2021-10-24,S08000026,Emergency,Medical (incl. Cardiology & Cancer),25,25,0
2021,4,2021-10-24,S08000026,Emergency,Surgery,12,12.5,-4
2021,4,2021-10-24,S08000028,Emergency,All,66,67.5,-2.2
2021,4,2021-10-24,S08000028,Emergency,Community,11,16.5,-33.3
2021,4,2021-10-24,S08000028,Emergency,Medical (excl. Cardiology & Cancer),29,37,-21.6
2021,4,2021-10-24,S08000028,Emergency,Medical (incl. Cardiology & Cancer),29,37,-21.6
2021,4,2021-10-24,S08000028,Emergency,Paediatrics (medical & surgical),7,2,250
2021,4,2021-10-24,S08000028,Emergency,Paediatrics (medical),7,2,250
2021,4,2021-10-24,S08000028,Emergency,Surgery,18,12,50
2021,4,2021-10-24,S08000029,Emergency,Accident & Emergency,44,57,-22.8
2021,4,2021-10-24,S08000029,Emergency,All,826,776.5,6.4
2021,4,2021-10-24,S08000029,Emergency,Cardiology,33,29,13.8
2021,4,2021-10-24,S08000029,Emergency,Community,11,5.5,100
2021,4,2021-10-24,S08000029,Emergency,Gynaecology,20,15.5,29
2021,4,2021-10-24,S08000029,Emergency,Medical (excl. Cardiology & Cancer),427,435.5,-2
2021,4,2021-10-24,S08000029,Emergency,Medical (incl. Cardiology & Cancer),460,464.5,-1
2021,4,2021-10-24,S08000029,Emergency,Paediatrics (medical & surgical),106,73.5,44.2
2021,4,2021-10-24,S08000029,Emergency,Paediatrics (medical),106,73.5,44.2
2021,4,2021-10-24,S08000029,Emergency,Surgery,185,160.5,15.3
2021,4,2021-10-24,S08000030,Emergency,Accident & Emergency,108,68,58.8
2021,4,2021-10-24,S08000030,Emergency,All,1093,944,15.8
2021,4,2021-10-24,S08000030,Emergency,Cancer,11,14.5,-24.1
2021,4,2021-10-24,S08000030,Emergency,Cardiology,48,15.5,209.7
2021,4,2021-10-24,S08000030,Emergency,Gynaecology,12,14,-14.3
2021,4,2021-10-24,S08000030,Emergency,Medical (excl. Cardiology & Cancer),559,505,10.7
2021,4,2021-10-24,S08000030,Emergency,Medical (incl. Cardiology & Cancer),618,535,15.5
2021,4,2021-10-24,S08000030,Emergency,Paediatrics (medical & surgical),138,96,43.8
2021,4,2021-10-24,S08000030,Emergency,Paediatrics (medical),138,95.5,44.5
2021,4,2021-10-24,S08000030,Emergency,Surgery,213,220.5,-3.4
2021,4,2021-10-24,S08000031,Emergency,Accident & Emergency,20,38,-47.4
2021,4,2021-10-24,S08000031,Emergency,All,2885,2712.5,6.4
2021,4,2021-10-24,S08000031,Emergency,Cancer,26,29,-10.3
2021,4,2021-10-24,S08000031,Emergency,Cardiology,95,91,4.4
2021,4,2021-10-24,S08000031,Emergency,Gynaecology,69,31,122.6
2021,4,2021-10-24,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1586,1552,2.2
2021,4,2021-10-24,S08000031,Emergency,Medical (incl. Cardiology & Cancer),1707,1672,2.1
2021,4,2021-10-24,S08000031,Emergency,Paediatrics (medical & surgical),322,236,36.4
2021,4,2021-10-24,S08000031,Emergency,Paediatrics (medical),301,222.5,35.3
2021,4,2021-10-24,S08000031,Emergency,Paediatrics (surgical),21,13.5,55.6
2021,4,2021-10-24,S08000031,Emergency,Surgery,767,735.5,4.3
2021,4,2021-10-24,S08000032,Emergency,Accident & Emergency,5,3,66.7
2021,4,2021-10-24,S08000032,Emergency,All,1375,1425.5,-3.5
2021,4,2021-10-24,S08000032,Emergency,Cardiology,92,79,16.5
2021,4,2021-10-24,S08000032,Emergency,Gynaecology,21,24,-12.5
2021,4,2021-10-24,S08000032,Emergency,Medical (excl. Cardiology & Cancer),870,841.5,3.4
2021,4,2021-10-24,S08000032,Emergency,Medical (incl. Cardiology & Cancer),963,921,4.6
2021,4,2021-10-24,S08000032,Emergency,Paediatrics (medical & surgical),94,112,-16.1
2021,4,2021-10-24,S08000032,Emergency,Paediatrics (medical),94,112,-16.1
2021,4,2021-10-24,S08000032,Emergency,Surgery,292,365.5,-20.1
2021,4,2021-10-24,S92000003,Emergency,Accident & Emergency,352,382.5,-8
2021,4,2021-10-24,S92000003,Emergency,All,11549,11674,-1.1
2021,4,2021-10-24,S92000003,Emergency,Cancer,118,128.5,-8.2
2021,4,2021-10-24,S92000003,Emergency,Cardiology,365,311,17.4
2021,4,2021-10-24,S92000003,Emergency,Community,122,189.5,-35.6
2021,4,2021-10-24,S92000003,Emergency,Gynaecology,195,186,4.8
2021,4,2021-10-24,S92000003,Emergency,Medical (excl. Cardiology & Cancer),6336,6361.5,-0.4
2021,4,2021-10-24,S92000003,Emergency,Medical (incl. Cardiology & Cancer),6819,6801,0.3
2021,4,2021-10-24,S92000003,Emergency,Paediatrics (medical & surgical),1281,1154.5,11
2021,4,2021-10-24,S92000003,Emergency,Paediatrics (medical),1232,1114.5,10.5
2021,4,2021-10-24,S92000003,Emergency,Paediatrics (surgical),49,40,22.5
2021,4,2021-10-24,S92000003,Emergency,Surgery,2779,2959,-6.1
2021,4,2021-10-31,S08000015,Emergency,Accident & Emergency,8,21.5,-62.8
2021,4,2021-10-31,S08000015,Emergency,All,971,1013,-4.1
2021,4,2021-10-31,S08000015,Emergency,Cardiology,16,7,128.6
2021,4,2021-10-31,S08000015,Emergency,Medical (excl. Cardiology & Cancer),599,612.5,-2.2
2021,4,2021-10-31,S08000015,Emergency,Medical (incl. Cardiology & Cancer),615,620,-0.8
2021,4,2021-10-31,S08000015,Emergency,Paediatrics (medical & surgical),148,148.5,-0.3
